credit_card_id (Primary Key),credit_card_name,multiple_levels,bank_name,card_type,payment_networks,money_smart_link,official_link,age_min,age_max,gender_req,annual_income_singaporean_min,annual_income_pr_min,annual_income_foreigner_min,foreign_currency_transaction_fee,annual_fee,annual_fee_waiver_min_spend,overall_points_cap,overall_points_min_spend,contactless_points_multiplier,contactless_points_cap,contactless_points_lot,dining_points_multiplier,dining_points_cap,dining_points_lot,entertainment_points_multiplier,entertainment_points_cap,entertainment_points_lot,foreign_points_multiplier,foreign_points_cap,foreign_points_lot,online_shopping_others_points_multiplier,online_shopping_others_points_cap,online_shopping_others_points_lot,online_shopping_hotels_and_flight_points_multiplier,online_shopping_hotels_and_flights_points_cap,online_shopping_hotels_and_flights_points_lot,retail_shopping_points_multiplier,retail_shopping_points_cap,retail_shopping_points_lot,points_to_miles_conversion,overall_cashback_cap,overall_cashback_min_spend,cash_cashback,bill_cashback_rate,bill_cashback_cap,bill_cashback_min_spend,contactless_cashback_rate,contactless_cashback_cap,contactless_cashback_min_spend,dining_cashback_rate,dining_cashback_cap,dining_cashback_min_spend,foreign_cashback_rate,foreign_cashback_cap,foreign_cashback_min_spend,groceries_overall_cashback_cap,groceries_others_cashback_rate,groceries_others_cashback_cap,groceries_others_cashback_min_spend,groceries_ntuc_cashback_rate,groceries_ntuc_cashback_cap,groceries_ntuc_cashback_min_spend,groceries_sheng_siong_cashback_rate,groceries_sheng_siong_cashback_cap,groceries_sheng_siong_cashback_min_spend,groceries_cold_storage_cashback_rate,groceries_cold_storage_cashback_cap,groceries_cold_storage_cashback_min_spend,groceries_giant_cashback_rate,groceries_giant_cashback_cap,groceries_giant_cashback_min_spend,online_shopping_overall_cashback_cap,online_shopping_others_cashback_rate,online_shopping_others_cashback_cap,online_shopping_others_cashback_min_spend,online_shopping_hotels_and_flights_cashback_rate,online_shopping_hotels_and_flights_cashback_cap,online_shopping_hotels_and_flights_cashback_min_spend,petrol_overal_cashback_cap,petrol_others_cashback_rate,petrol_others_cashback_cap,petrol_others_cashback_min_spend,petrol_esso_cashback_rate,petrol_esso_cashback_cap,petrol_esso_cashback_min_spend,petrol_caltex_cashback_rate,petrol_caltex_cashback_cap,petrol_caltex_cashback_min_spend,petrol_shell_cashback_rate,petrol_shell_cashback_cap,petrol_shell_cashback_min_spend,retail_shopping_cashback_rate,retail_shopping_cashback_cap,retail_shopping_cashback_min_spend,transport_cashback_rate,transport_cashback_cap,transport_cashback_min_spend
1,Standard Chartered Rewards+ Credit Card,FALSE,Standard Chartered,Rewards,Visa,https://www.moneysmart.sg/credit-cards/standard-chartered-rewards,https://www.sc.com/sg/credit-cards/rewards-plus-credit-card/,21,65,A,30000,30000,60000,0.035,192.6,0,20000,0,1,999999999,1,5,999999999,1,1,999999999,1,10,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,0.29,999999999,0,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0
2,Standard Chartered Unlimited Cashback Credit Card,FALSE,Standard Chartered,Rebates,MasterCard,https://www.moneysmart.sg/credit-cards/dbs-live-fresh-card,https://www.sc.com/sg/credit-cards/unlimited-cashback-credit-card/,21,65,A,30000,30000,60000,0.035,192.6,0,999999999,0,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,0.5,999999999,0,0,0.015,999999999,0,0.015,999999999,0,0.015,999999999,0,0.015,999999999,0,999999999,0.015,999999999,0,0.015,999999999,0,0.015,999999999,0,0.015,999999999,0,0.015,999999999,0,999999999,0.015,999999999,0,0.015,999999999,0,999999999,0.015,999999999,0,0.015,999999999,0,0.2104,999999999,0,0.015,999999999,0,0.015,999999999,0,0.015,999999999,0
3,Standard Chartered Spree Credit Card,FALSE,Standard Chartered,Rebates,Visa,https://www.moneysmart.sg/credit-cards/standard-chartered-spree-credit-card,https://www.sc.com/sg/credit-cards/spree-credit-card/,21,65,A,30000,30000,60000,0.035,192.6,0,999999999,0,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,0.5,60,0,0,0.01,999999999,0,0.02,999999999,0,0.01,999999999,0,0.01,999999999,0,999999999,0.01,999999999,0,0.01,999999999,0,0.01,999999999,0,0.01,999999999,0,0.01,999999999,0,999999999,0.03,999999999,0,0.03,999999999,0,999999999,0.01,999999999,0,0.01,999999999,0,0.01,999999999,0,0.01,999999999,0,0.01,999999999,0,0.01,999999999,0
4,Standard Chartered Visa Infinite Credit Card,FALSE,Standard Chartered,Miles,Visa,https://www.moneysmart.sg/credit-cards/standard-chartered-visa-infinite-credit-card,https://www.sc.com/sg/credit-cards/visa-infinite-card/,21,65,A,150000,150000,150000,0.035,588.5,0,999999999,0,1.4,999999999,1,1.4,999999999,1,1.4,999999999,1,3,999999999,1,1.4,999999999,1,1.4,999999999,1,1.4,999999999,1,1,999999999,2000,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0.2507,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0
5,Standard Chartered Platinum Visa Credit Card,FALSE,Standard Chartered,Rewards,Visa,https://www.moneysmart.sg/credit-cards/standard-chartered-platinum-credit-card,https://www.sc.com/sg/credit-cards/platinum-visa-mastercard-credit-card/,21,65,A,30000,30000,60000,0.035,192.6,0,999999999,0,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,0.4,999999999,0,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0.1978,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0
6,Standard Chartered Platinum MasterCard Credit Card,FALSE,Standard Chartered,Rewards,MasterCard,https://www.moneysmart.sg/credit-cards/standard-chartered-platinum-credit-card,https://www.sc.com/sg/credit-cards/platinum-visa-mastercard-credit-card/,21,65,A,30000,30000,60000,0.035,192.6,0,999999999,0,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,0.4,999999999,0,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0.1978,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0
7,DBS Live Fresh Card,FALSE,DBS,Rebates,Visa,https://www.moneysmart.sg/credit-cards/dbs-live-fresh-card,https://www.dbs.com.sg/personal/cards/credit-cards/live-fresh-dbs-visa-paywave-platinum-card,21,999,A,30000,30000,45000,0.028,128.4,0,999999999,0,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,0.5,999999999,0,0,0.003,999999999,0,0.05,20,0,0.003,999999999,0,0.003,999999999,0,999999999,0.003,999999999,0,0.003,999999999,0,0.003,999999999,0,0.003,999999999,0,0.003,999999999,0,999999999,0.05,999999999,0,0.05,999999999,0,999999999,0.003,999999999,0,0.003,999999999,0,0.003,999999999,0,0.003,999999999,0,0.003,999999999,0,0.003,999999999,0
8,DBS Takashimaya Visa Card,FALSE,DBS,Rebates,Visa,https://www.moneysmart.sg/credit-cards/dbs-takashimaya-platinum-american-express-card,https://www.dbs.com.sg/personal/cards/credit-cards/dbs-takashimaya-card,21,999,A,30000,30000,45000,0.03,192.6,0,999999999,0,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,0.5,999999999,0,0,0.005,999999999,0,0.005,999999999,0,0.005,999999999,0,0.005,999999999,0,999999999,0.005,999999999,0,0.005,999999999,0,0.005,999999999,0,0.005,999999999,0,0.005,999999999,0,999999999,0.005,999999999,0,0.005,999999999,0,999999999,0.005,999999999,0,0.005,999999999,0,0.005,999999999,0,0.005,999999999,0,0.005,999999999,0,0.005,999999999,0
9,DBS Takashimaya American Express® Card,FALSE,DBS,Rebates,American Express,https://www.moneysmart.sg/credit-cards/dbs-takashimaya-platinum-american-express-card,https://www.dbs.com.sg/personal/cards/credit-cards/dbs-takashimaya-card,21,999,A,30000,30000,45000,0.03,192.6,0,999999999,0,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,0.5,999999999,0,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0
10,DBS Esso Card,FALSE,DBS,Rebates,MasterCard,https://www.moneysmart.sg/credit-cards/dbs-esso-platinum-card,https://www.dbs.com.sg/personal/cards/credit-cards/dbs-esso-platinum-card,21,999,A,30000,30000,45000,0.03,192.6,0,999999999,0,1,999999999,10,1,999999999,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.5,999999999,0,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0.17,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0
11,DBS Woman’s Card,FALSE,DBS,Rewards,MasterCard,https://www.moneysmart.sg/credit-cards/DBS-Womans-Card,https://www.dbs.com.sg/personal/cards/credit-cards/dbs-woman-mastercard-card,21,999,F,30000,30000,45000,0.025,160.5,0,999999999,0,1,999999999,5,1,999999999,5,5,5,5,1,999999999,5,5,5,5,5,5,5,5,5,5,2,999999999,0,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0
12,DBS Woman’s World Card,FALSE,DBS,Rewards,MasterCard,https://www.moneysmart.sg/credit-cards/dbs-woman-s-world-card,https://www.dbs.com.sg/personal/cards/credit-cards/dbs-woman-mastercard-card,21,999,F,80000,80000,80000,0.028,192.6,0,999999999,0,1,999999999,5,1,999999999,5,5,5,5,3,999999999,5,5,5,5,5,5,5,5,5,5,2,999999999,0,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0
13,DBS Black Visa Card,FALSE,DBS,Rewards,Visa,https://www.moneysmart.sg/credit-cards/dbs-black-visa-card,https://www.dbs.com.sg/personal/cards/credit-cards/dbs-black-visa-card,21,999,A,30000,30000,45000,0.028,192.6,0,999999999,0,3,999999999,5,1,999999999,5,5,5,5,1,999999999,5,5,5,5,5,5,5,5,5,5,2,999999999,0,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0
14,DBS Black American Express® Card,FALSE,DBS,Rewards,American Express,https://www.moneysmart.sg/credit-cards/dbs-black-visa-card,https://www.dbs.com.sg/personal/cards/credit-cards/dbs-black-visa-card,21,999,A,30000,30000,45000,0.028,192.6,0,999999999,0,1,999999999,5,1,999999999,5,5,5,5,1,999999999,5,5,5,5,5,5,5,5,5,5,2,999999999,0,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0
15,DBS Altitude Visa Signature Card,FALSE,DBS,Miles,Visa,https://www.moneysmart.sg/credit-cards/dbs-altitude-visa-signature-card,https://www.dbs.com.sg/personal/cards/credit-cards/dbs-altitude-cards,21,999,A,30000,30000,45000,0.028,192.6,25000,999999999,0,1.2,999999999,1,1.2,1.2,1.2,1.2,999999999,1,2,999999999,1,1.2,999999999,1,3,15000,1,1.2,999999999,1,1,999999999,0,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0
16,DBS Altitude American Express® Card,FALSE,DBS,Miles,American Express,https://www.moneysmart.sg/credit-cards/dbs-altitude-visa-signature-card,https://www.dbs.com.sg/personal/cards/credit-cards/dbs-altitude-cards,21,999,A,30000,30000,45000,0.028,192.6,25000,999999999,0,1.2,999999999,1,1.2,1.2,1.2,1.2,999999999,1,2,999999999,1,1.2,999999999,1,3,15000,1,1.2,999999999,1,1,999999999,0,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0
17,Citi PremierMiles Visa Card,FALSE,Citibank,Miles,Visa,not-found,https://www.citibank.com.sg/gcb/credit_cards/premiermiles-visa-card.htm?icid=SGCCUV6ENCRCDCAFM,21,999,A,30000,30000,42000,0.028,192.6,0,999999999,0,1.2,999999999,1,1.2,1.2,1.2,1.2,999999999,1,2,999999999,1,1.2,999999999,1,1.2,999999999,1,1.2,999999999,1,1,999999999,0,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0
18,Citi Rewards Card,FALSE,Citibank,Rewards,Visa,not-found,https://www.citibank.com.sg/gcb/credit_cards/rewards-credit-card.htm?icid=SGVMAB6ENCRCDCAFM,21,999,A,30000,30000,42000,0,192.6,0,999999999,0,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,10,999999999,1,1,999999999,1,10,999999999,1,1,999999999,0,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0
19,Citi Cash Back Card,FALSE,Citibank,Cashback,Visa,not-found,https://www.citibank.com.sg/gcb/credit_cards/dividend-card.htm?icid=SGCCUSUENCRCRCAFM,21,999,A,30000,30000,42000,0,192.6,0,999999999,0,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,0.5,100,500,0,0,999999999,0,0,999999999,0,0.08,25,0,0,999999999,0,25,0.08,999999999,0,0.08,999999999,0,0.08,999999999,0,0.08,999999999,0,0.08,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0.08,999999999,0,0.08,999999999,0,0.08,999999999,0,0.08,999999999,0,0,999999999,0,0.08,25,0
20,Citi SMRT Card,FALSE,Citibank,Cashback,Visa,not-found,https://www.citibank.com.sg/gcb/credit_cards/smrt-credit-card.htm?icid=SGCCA2HENCRCDCAFM#daily,21,999,A,30000,30000,42000,0,192.6,0,999999999,0,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,0.5,999999999,0,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0.16,999999999,0,0.16,999999999,0,0.16,999999999,0,0.16,999999999,0,0,999999999,0,0,999999999,0
21,HSBC Advance Credit Card,FALSE,HSBC,Cashback,Visa,https://www.moneysmart.sg/credit-cards/hsbc-advance-credit-card,https://www.hsbc.com.sg/1/2//campaigns/chl_advance?code=PSR1000010&cid=SGH:YCT:P1:CC:01:1804:054:Acq_MassCards_PSR_Google&gclid=Cj0KCQiA5NPjBRDDARIsAM9X1GIb2bCLNLtQC1pnHVIqonGCSLXYspgvF8gE3dIk61oox8L8e6KWduIaAn4OEALw_wcB,21,999,A,30000,30000,40000,0,193,12500,999999999,0,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,0.5,125,0,0,0.025,999999999,0,0.025,999999999,0,0.025,999999999,0,0.025,999999999,0,999999999,0.025,999999999,0,0.025,999999999,0,0.025,999999999,0,0.025,999999999,0,0.025,999999999,0,999999999,0.025,999999999,0,0.025,999999999,0,999999999,0.16,999999999,0,0.16,999999999,0,0.16,999999999,0,0.16,999999999,0,0.025,999999999,0,0.025,999999999,0
22,HSBC Visa Platinum Credit Card,FALSE,HSBC,Cashback,Visa,https://www.moneysmart.sg/credit-cards/hsbc,https://www.hsbc.com.sg/1/2//campaigns/chl_vpccard/?code=PSR1000010&cid=SGH:YCT:P1:CC:01:1804:054:Acq_MassCards_PSR_Google&gclid=Cj0KCQiA5NPjBRDDARIsAM9X1GK-AxHeTAlG-aObbtK_ug8ZuI4BlPTeYo5faIp6hDv9dCFwKgvyvqcaAksUEALw_wcB,21,999,A,30000,30000,40000,0.028,193,12500,999999999,0,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,0.5,999999999,0,0,0,999999999,0,0,999999999,0,0.05,83,0,0,999999999,0,83,0.05,999999999,0,0.05,999999999,0,0.05,999999999,0,0.05,999999999,0,0.05,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0.16,999999999,0,0.14,999999999,0,0,999999999,0,0,999999999,0
